region,city,neighborhood,sold,price,toList,aboveList,dom,forSale,drop,soldYoY,priceYoY,toListYoY,aboveListYoY,domYoY,forSaleYoY,dropYoY
city,Algona,,22,199507,-0.025,0.364,38,15,0.256,-0.313,0.19,-0.065,-0.48,-29,-0.063,0.154
city,Arlington,,399,259648,0,0.201,34,243,0.248,-0.059,-0.009,0.001,-0.078,4,0.061,0.019
city,Auburn,,"1,037",284654,0,0.347,29,513,0.22,-0.113,0.084,0,-0.093,-5,-0.054,0.063
city,Beaux Arts,,4,969000,0.009,0,24,3,,,,,,,0.5,
city,Bellevue,,905,738904,0.012,0.569,6,374,0.144,-0.265,0.131,0.007,0.053,1,-0.156,0.021
city,Black Diamond,,47,274415,0.001,0.106,45,27,0.086,-0.365,-0.093,0.002,-0.191,-15,-0.129,-0.147
city,Bothell,,"1,110",468981,0,0.376,11,504,0.171,-0.177,0.166,0,-0.164,-1,0.266,0.022
city,Brier,,48,498696,0,0.271,43,25,0.169,-0.538,0.457,0,-0.2,-29,-0.167,0
city,Burien,,306,314098,-0.005,0.268,36,128,0.245,-0.133,0.125,-0.005,-0.089,-20,-0.086,0.021
city,Carnation,,70,438105,0.001,0.329,16,53,0.215,-0.32,0.108,0.01,0.125,25,-0.036,0.012
city,Clyde Hill,,43,1686512,-0.007,0.349,9,18,0.132,-0.14,0.113,0.011,0.069,1,-0.357,-0.027
city,Covington,,226,247888,0,0.252,21,89,0.248,-0.418,-0.04,0,-0.232,1,-0.31,0.111
city,Darrington,,16,141125,-0.019,0.125,74,17,0.097,-0.448,-0.052,-0.001,0.125,-12,-0.346,-0.094
city,Des Moines,,268,264388,-0.002,0.254,21,134,0.208,-0.11,0.124,-0.002,-0.145,-7,0.039,0.047
city,Duvall,,151,394034,-0.001,0.338,7,56,0.222,-0.068,-0.031,-0.001,-0.063,6,-0.243,0.087
city,Edmonds,,421,406711,-0.002,0.316,12,254,0.192,-0.3,0.089,-0.001,-0.017,-1,0.124,-0.006
city,Enumclaw,,169,257130,-0.014,0.107,35,124,0.242,-0.159,-0.005,0.002,0.012,5,0.078,0.029
city,Everett,,"1,100",279827,-0.001,0.325,20,515,0.231,-0.292,0.074,-0.001,-0.094,-6,-0.06,0.07
city,Fall City,,36,446167,-0.021,0.083,35,30,0.163,-0.429,-0.153,-0.017,-0.012,-18,-0.318,-0.058
city,Federal Way,,678,261914,0,0.294,30,311,0.253,-0.172,0.079,0,-0.085,-11,-0.016,0.051
city,Gold Bar,,55,186684,-0.005,0.236,33,36,0.201,0,0.27,0.007,-0.018,13,-0.027,-0.054
city,Granite Falls,,93,193958,-0.001,0.29,24,72,0.235,-0.25,0.04,-0.001,-0.089,-5,-0.111,0.062
city,Issaquah,,541,626497,0.003,0.527,8,206,0.13,-0.337,0.163,0.001,-0.011,1,-0.142,-0.028
city,Kenmore,,197,458813,0.001,0.508,11,77,0.176,-0.075,0.064,0,-0.009,0,0.185,0.061
city,Kent,,788,271119,-0.001,0.332,24,402,0.223,-0.318,0.015,-0.001,-0.061,-6,-0.115,0.029
city,Kirkland,,753,561315,0,0.434,8,327,0.166,-0.298,0.094,-0.001,-0.057,-1,-0.128,0.023
city,Lake Forest Park,,110,491105,-0.001,0.427,9,54,0.218,-0.442,0.055,-0.001,-0.07,4,-0.229,-0.017
