type,city,neighborhood,sold,price,toList,aboveList,dom,forSale,newlyListed,priceDrop,soldYoY,priceYoY,toListYoY,aboveListYoY,domYoY,forSaleYoY,newlyListedYoY,priceDropYoY
city,Algona,,0,,,,,1,6,0,,,,,,,,
city,Arlington,,58,176424,0.002926118,0.603448276,13,24,90,0.178082192,0.414634146,0.329184591,-0.009658394,0.140033642,-2,0.6,0.578947368,0.025908279
city,Auburn,,168,154627,0,0.160714286,26,75,206,0.329621381,-0.196172249,-0.117657464,0.000661298,-0.169429255,19,-0.147727273,-0.028301887,0.147458193
city,Beaux Arts,,0,,,,,0,0,,,,,,,,,
city,Bellevue,,583,295097,-0.001789843,0.322469983,10,216,829,0.207401696,-0.205722071,-0.09845321,-0.001789843,-0.049464622,-2,-0.260273973,-0.168505517,0.094516862
city,Black Diamond,,4,160000,-0.05826957,0,68,2,6,0.25,,,,,,,,-0.083333333
city,Bothell,,338,282714,0,0.363905325,17,160,584,0.223492723,0.305019305,0.494252145,-0.007251972,-0.056944095,-6,0.649484536,0.645070423,0.123492723
city,Brier,,3,,,,,1,0,0,,,,,,,,
city,Burien,,35,222214,-0.069725676,0.085714286,52,24,63,0.232876712,-0.520547945,0.38884618,-0.0687942,0.003522505,-38,-0.4,-0.336842105,0.054453476
city,Carnation,,0,,,,,1,3,,,,,,,,,
city,Clyde Hill,,0,,,,,0,0,,,,,,,,,
city,Covington,,0,,,,,0,0,,-1,,,,,,,
city,Darrington,,0,,,,,0,0,,,,,,,,,
city,Des Moines,,81,102661,-0.007463958,0.320987654,21,51,137,0.148026316,-0.301724138,-0.158902471,-0.006433223,0.002022137,12,0.02,-0.092715232,-0.049298099
city,Duvall,,10,158190,-0.003259689,0.3,14,2,12,0,2.333333333,,,,,-0.333333333,3,-0.210526316
city,Edmonds,,268,249789,-0.00055,0.23880597,11,87,325,0.164750958,-0.202380952,-0.02631938,0.000204831,-0.005241649,15,-0.074468085,0.07615894,0.013774048
city,Enumclaw,,3,,,,,3,7,0.526315789,-0.571428571,,,,,0,0.166666667,0.026315789
city,Everett,,513,166195,0,0.306042885,26,182,591,0.214678899,0.084566596,0.102886038,0,-0.063935973,-5,0.02247191,0.125714286,0.070349002
city,Fall City,,0,,,,,0,0,,,,,,,,,
city,Federal Way,,177,88676,-0.01952819,0.225988701,20,70,215,0.220095694,0.011428571,0.093928104,-0.020657318,-0.071154157,10,-0.247311828,-0.00921659,0.012888487
city,Gold Bar,,0,,,,,0,0,,,,,,,,,
city,Granite Falls,,0,,,,,0,0,,,,,,,,,
city,Issaquah,,413,295287,0,0.404358354,6,150,631,0.201773836,-0.030516432,0.101973414,-8.10E-06,-0.025219111,5,-0.050632911,0.155677656,0.084437684
city,Kenmore,,61,212504,-0.001315277,0.180327869,31,23,96,0.217391304,0.29787234,0.026277027,0.005078953,0.052668294,7,0.045454545,0.297297297,-0.015166835
city,Kent,,316,135870,0,0.231012658,33,125,386,0.2436751,0.19245283,0.043011661,-0.001010743,-0.180308096,-16,0.10619469,0.152238806,0.034544025
city,Kirkland,,595,319526,0,0.349579832,10,214,782,0.227237354,0.056838366,0.234706535,-5.99E-07,-0.112231891,-2,0.132275132,0.277777778,0.091074666
city,Lake Forest Park,,29,201174,0.006125562,0.551724138,12,9,33,0.092592593,1.416666667,0.829686221,0.039816863,0.551724138,-1,0.125,1.357142857,-0.254346183
city,Lake Stevens,,95,238838,0,0.263157895,15,31,98,0.266304348,-0.128440367,0.241884577,-0.00417624,-0.18638339,-5,0.107142857,-0.066666667,0.177018634
city,Lynnwood,,425,273874,0,0.223529412,29,164,491,0.23853211,0.136363636,0.491834711,0,-0.292513369,-16,0.451327434,0.221393035,0.142803097
