type,city,neighborhood,sold,price,toList,aboveList,dom,forSale,newlyListed,priceDrop,soldYoY,priceYoY,toListYoY,aboveListYoY,domYoY,forSaleYoY,newlyListedYoY,priceDropYoY
city,Algona,,22,201300,-0.021516125,0.409090909,39,15,41,0.217391304,-0.388888889,0.238769231,-0.060426113,-0.424242424,-30,-0.0625,-0.196078431,0.111008326
city,Arlington,,434,262684,0,0.211981567,31,251,644,0.271457086,0.021176471,0.017023698,0.000743584,-0.075077257,7,0.063559322,-0.051546392,0.045308676
city,Auburn,,1171,285593,0,0.335610589,28,549,1679,0.232473445,-0.006785411,0.080269469,0,-0.123252854,-7,0.001824818,-0.046022727,0.07300905
city,Beaux Arts,,4,969000,0.009375,0,24,3,4,,0.333333333,,,,,0,-0.333333333,
city,Bellevue,,1065,765303,0.010730568,0.555868545,6,422,1856,0.172127912,-0.152070064,0.159725716,0.00413761,0.038352621,1,-0.090517241,-0.024185068,0.050316916
city,Black Diamond,,57,301850,-1.12E-05,0.105263158,25,28,81,0.121212121,-0.2875,0.057693992,-4.64E-05,-0.219736842,-3,-0.125,-0.213592233,-0.115629984
city,Bothell,,1359,462412,0,0.410596026,9,565,2155,0.195042785,-0.019480519,0.144935574,-0.000367719,-0.142073526,0,0.391625616,0.318042813,0.046849025
city,Brier,,54,505214,-0.000420554,0.314814815,32,26,102,0.185897436,-0.495327103,0.478985348,-0.000455916,-0.171166494,-19,-0.133333333,-0.120689655,0.018299671
city,Burien,,359,329308,-0.002085443,0.328690808,32,134,417,0.258426966,-0.011019284,0.177428813,-0.002085443,-0.01841663,-16,-0.069444444,-0.179133858,0.020551678
city,Carnation,,72,409633,0.001116859,0.319444444,17,58,162,0.227665706,-0.265306122,0.059005866,0.009907578,0.10515873,18,0.01754386,-0.02994012,0.006426768
city,Clyde Hill,,42,1683857,-0.00791135,0.30952381,9,20,71,0.191666667,-0.125,0.105482781,0.014992408,0.038690476,4,-0.285714286,-0.101265823,0.032843137
city,Covington,,241,247853,0,0.307053942,17,94,316,0.245115453,-0.375647668,-0.049872922,-1.33E-05,-0.172220669,1,-0.276923077,-0.249406176,0.097110305
city,Darrington,,16,145781,-0.011245741,0.1875,45,21,47,0.10483871,-0.428571429,-0.041021728,0.004074776,0.1875,12,-0.222222222,-0.040816327,-0.080346476
city,Des Moines,,291,272955,-0.001853739,0.23024055,20,143,468,0.208381839,-0.08490566,0.158641153,-0.002398344,-0.162841211,-5,0.083333333,0.070938215,0.044447413
city,Duvall,,180,395486,-0.000555556,0.355555556,9,63,254,0.246031746,0.071428571,-0.024517421,-0.00036574,-0.043253968,0,-0.181818182,-0.055762082,0.105339105
city,Edmonds,,488,412119,-0.001798964,0.329918033,9,277,986,0.201322115,-0.22906793,0.086717137,-0.001485729,-0.023952425,0,0.199134199,0.183673469,-0.000121928
